,episode_length,ep_reward,episodes,total_step,average_return
0,20,-1.0,99,2000,0.03
1,20,1.0,199,4000,0.13
2,20,1.0,299,6000,0.13
3,20,-1.0,399,8000,0.18
4,20,1.0,499,10000,0.2
5,20,0.0,599,12000,0.43
6,20,2.0,699,14000,0.3
7,20,0.0,799,16000,0.45
8,20,-1.0,899,18000,0.35
9,20,2.0,999,20000,0.65
10,20,2.0,1099,22000,0.54
11,20,2.0,1199,24000,0.59
12,20,2.0,1299,26000,0.57
13,20,0.0,1399,28000,0.61
14,20,0.0,1499,30000,0.63
15,20,1.0,1599,32000,0.7
16,20,1.0,1699,34000,1.05
17,20,2.0,1799,36000,0.83
18,20,-1.0,1899,38000,0.64
19,20,1.0,1999,40000,0.69
20,20,1.0,2099,42000,0.81
21,20,2.0,2199,44000,0.77
22,20,1.0,2299,46000,1.01
23,20,0.0,2399,48000,1.0
24,20,3.0,2499,50000,1.09
25,20,3.0,2599,52000,0.97
26,20,3.0,2699,54000,0.8
27,20,2.0,2799,56000,0.95
28,20,1.0,2899,58000,1.06
29,20,1.0,2999,60000,1.09
30,20,1.0,3099,62000,1.15
31,20,3.0,3199,64000,1.0
32,20,0.0,3299,66000,1.04
33,20,2.0,3399,68000,1.22
34,20,1.0,3499,70000,1.18
35,20,0.0,3599,72000,1.35
36,20,1.0,3699,74000,1.23
37,20,2.0,3799,76000,1.28
38,20,2.0,3899,78000,1.18
39,20,3.0,3999,80000,1.21
40,20,2.0,4099,82000,1.33
41,20,1.0,4199,84000,1.35
42,20,2.0,4299,86000,1.23
43,20,1.0,4399,88000,1.31
44,20,0.0,4499,90000,1.29
45,20,1.0,4599,92000,1.36
46,20,3.0,4699,94000,1.31
47,20,1.0,4799,96000,1.23
48,20,2.0,4899,98000,1.39
49,20,1.0,4999,100000,1.3
