,episode_length,ep_reward,episodes,total_step,average_return
0,20,1.0,99,2000,0.43
1,20,1.0,199,4000,0.3
2,20,1.0,299,6000,0.48
3,20,0.0,399,8000,0.51
4,20,-1.0,499,10000,0.29
5,20,-1.0,599,12000,0.62
6,20,0.0,699,14000,0.71
7,20,1.0,799,16000,0.62
8,20,1.0,899,18000,0.57
9,20,2.0,999,20000,0.55
10,20,1.0,1099,22000,0.63
11,20,1.0,1199,24000,0.76
12,20,1.0,1299,26000,0.75
13,20,1.0,1399,28000,0.83
14,20,2.0,1499,30000,0.94
15,20,1.0,1599,32000,0.76
16,20,0.0,1699,34000,0.83
17,20,1.0,1799,36000,0.84
18,20,1.0,1899,38000,0.77
19,20,0.0,1999,40000,0.85
20,20,1.0,2099,42000,0.74
21,20,0.0,2199,44000,0.86
22,20,1.0,2299,46000,0.9
23,20,2.0,2399,48000,0.82
24,20,1.0,2499,50000,0.97
25,20,1.0,2599,52000,1.01
26,20,2.0,2699,54000,0.96
27,20,1.0,2799,56000,1.03
28,20,1.0,2899,58000,0.99
29,20,1.0,2999,60000,0.93
30,20,0.0,3099,62000,0.92
31,20,1.0,3199,64000,0.95
32,20,1.0,3299,66000,0.98
33,20,3.0,3399,68000,0.92
34,20,1.0,3499,70000,0.99
35,20,0.0,3599,72000,0.94
36,20,2.0,3699,74000,0.98
37,20,1.0,3799,76000,1.01
38,20,1.0,3899,78000,1.06
39,20,2.0,3999,80000,1.07
40,20,0.0,4099,82000,0.99
41,20,1.0,4199,84000,1.06
42,20,2.0,4299,86000,1.04
43,20,0.0,4399,88000,1.11
44,20,1.0,4499,90000,1.09
45,20,1.0,4599,92000,1.22
46,20,2.0,4699,94000,1.1
47,20,2.0,4799,96000,0.97
48,20,1.0,4899,98000,1.12
49,20,2.0,4999,100000,1.03
