,episode_length,ep_reward,episodes,total_step,average_return
0,20,0.0,99,2000,-0.1
1,20,0.0,199,4000,-0.03
2,20,0.0,299,6000,0.1
3,20,0.0,399,8000,0.15
4,20,0.0,499,10000,0.17
5,20,1.0,599,12000,0.22
6,20,1.0,699,14000,0.34
7,20,1.0,799,16000,0.38
8,20,0.0,899,18000,0.36
9,20,0.0,999,20000,0.54
10,20,0.0,1099,22000,0.62
11,20,0.0,1199,24000,0.47
12,20,1.0,1299,26000,0.67
13,20,1.0,1399,28000,0.69
14,20,1.0,1499,30000,0.68
15,20,1.0,1599,32000,0.68
16,20,0.0,1699,34000,0.72
17,20,1.0,1799,36000,0.74
18,20,1.0,1899,38000,0.78
19,20,1.0,1999,40000,0.82
20,20,1.0,2099,42000,0.76
21,20,1.0,2199,44000,0.78
22,20,1.0,2299,46000,0.79
23,20,1.0,2399,48000,0.72
24,20,1.0,2499,50000,0.72
25,20,0.0,2599,52000,0.81
26,20,1.0,2699,54000,0.85
27,20,1.0,2799,56000,0.77
28,20,1.0,2899,58000,0.73
29,20,1.0,2999,60000,0.83
30,20,1.0,3099,62000,0.82
31,20,0.0,3199,64000,0.8
32,20,1.0,3299,66000,0.76
33,20,1.0,3399,68000,0.78
34,20,0.0,3499,70000,0.82
35,20,1.0,3599,72000,0.79
36,20,0.0,3699,74000,0.82
37,20,1.0,3799,76000,0.81
38,20,1.0,3899,78000,0.77
39,20,1.0,3999,80000,0.84
40,20,1.0,4099,82000,0.86
41,20,0.0,4199,84000,0.81
42,20,1.0,4299,86000,0.76
43,20,1.0,4399,88000,0.85
44,20,1.0,4499,90000,0.87
45,20,0.0,4599,92000,0.82
46,20,1.0,4699,94000,0.84
47,20,1.0,4799,96000,0.78
48,20,0.0,4899,98000,0.83
49,20,1.0,4999,100000,0.91
