,episode_length,ep_reward,episodes,total_step,average_return
0,20,-1.0,99,2000,-0.56
1,20,-2.0,199,4000,-0.37
2,20,-2.0,299,6000,-0.31
3,20,1.0,399,8000,-0.15
4,20,1.0,499,10000,-0.04
5,20,1.0,599,12000,0.54
6,20,1.0,699,14000,0.26
7,20,1.0,799,16000,0.4
8,20,-2.0,899,18000,0.31
9,20,1.0,999,20000,0.58
10,20,2.0,1099,22000,0.69
11,20,1.0,1199,24000,0.78
12,20,2.0,1299,26000,0.94
13,20,1.0,1399,28000,0.76
14,20,0.0,1499,30000,0.69
15,20,2.0,1599,32000,0.9
16,20,1.0,1699,34000,0.84
17,20,2.0,1799,36000,0.94
18,20,2.0,1899,38000,0.79
19,20,0.0,1999,40000,0.92
20,20,2.0,2099,42000,1.01
21,20,2.0,2199,44000,1.06
22,20,0.0,2299,46000,0.97
23,20,1.0,2399,48000,1.14
24,20,1.0,2499,50000,1.07
25,20,2.0,2599,52000,1.12
26,20,1.0,2699,54000,0.89
27,20,1.0,2799,56000,1.12
28,20,1.0,2899,58000,1.15
29,20,0.0,2999,60000,1.08
30,20,1.0,3099,62000,1.1
31,20,2.0,3199,64000,1.03
32,20,2.0,3299,66000,1.03
33,20,2.0,3399,68000,1.11
34,20,0.0,3499,70000,1.0
35,20,1.0,3599,72000,0.97
36,20,0.0,3699,74000,1.05
37,20,2.0,3799,76000,1.18
38,20,2.0,3899,78000,1.15
39,20,1.0,3999,80000,1.05
40,20,1.0,4099,82000,1.14
41,20,2.0,4199,84000,1.22
42,20,2.0,4299,86000,1.1
43,20,1.0,4399,88000,1.16
44,20,1.0,4499,90000,1.0
45,20,1.0,4599,92000,1.13
46,20,2.0,4699,94000,0.99
47,20,1.0,4799,96000,1.19
48,20,0.0,4899,98000,1.22
49,20,2.0,4999,100000,1.09
