,episode_length,ep_reward,episodes,total_step,average_return
0,20,1.0,99,2000,0.26
1,20,-1.0,199,4000,0.27
2,20,1.0,299,6000,0.46
3,20,0.0,399,8000,0.42
4,20,0.0,499,10000,0.6
5,20,2.0,599,12000,0.63
6,20,0.0,699,14000,0.62
7,20,1.0,799,16000,0.78
8,20,2.0,899,18000,0.79
9,20,0.0,999,20000,1.06
10,20,0.0,1099,22000,1.04
11,20,2.0,1199,24000,0.96
12,20,0.0,1299,26000,1.08
13,20,2.0,1399,28000,1.09
14,20,1.0,1499,30000,1.07
15,20,2.0,1599,32000,1.15
16,20,1.0,1699,34000,1.18
17,20,1.0,1799,36000,1.22
18,20,2.0,1899,38000,1.16
19,20,1.0,1999,40000,1.29
20,20,0.0,2099,42000,1.18
21,20,2.0,2199,44000,1.27
22,20,2.0,2299,46000,1.37
23,20,2.0,2399,48000,1.31
24,20,2.0,2499,50000,1.32
25,20,1.0,2599,52000,1.39
26,20,1.0,2699,54000,1.4
27,20,1.0,2799,56000,1.47
28,20,2.0,2899,58000,1.43
29,20,2.0,2999,60000,1.38
30,20,2.0,3099,62000,1.3
31,20,2.0,3199,64000,1.31
32,20,2.0,3299,66000,1.43
33,20,1.0,3399,68000,1.35
34,20,0.0,3499,70000,1.3
35,20,2.0,3599,72000,1.33
36,20,1.0,3699,74000,1.44
37,20,2.0,3799,76000,1.48
38,20,1.0,3899,78000,1.37
39,20,1.0,3999,80000,1.33
40,20,1.0,4099,82000,1.46
41,20,2.0,4199,84000,1.27
42,20,2.0,4299,86000,1.42
43,20,1.0,4399,88000,1.33
44,20,2.0,4499,90000,1.37
45,20,0.0,4599,92000,1.36
46,20,1.0,4699,94000,1.4
47,20,2.0,4799,96000,1.56
48,20,2.0,4899,98000,1.5
49,20,1.0,4999,100000,1.53
